year,tournament,given_name,family_name,country,goals
1930,Uruguay,Guillermo,Stàbile,Argentina,8
1934,Italy,Oldrich,Nejedlý,Czechoslovakia,5
1938,France,Leônidas, ,Brazil,7
1950,Brazil,Ademir, ,Brazil,8
1954,Switzerland,Sàndor,Kocsis,Hungary,11
1958,Sweden,Just,Fontaine,France,13
1962,Chile,Flórián,Albert,Hungary,4
1962,Chile,Valentin,Ivanov,Soviet Union,4
1962,Chile, ,Garrincha,Brazil,4
1962,Chile, ,Vavà,Brazil,4
1962,Chile,Drazan,Jerkovic,Yugoslavia,4
1962,Chile,Leonel,Sanchez,Chile,4
1966,England,Eusébio, ,Portugal,9
1970,Mexico,Gerd,Müller,West Germany,10
1974,West Germany,Grzegorz,Lato,Poland,7
1978,Argentina,Mario,Kempes,Argentina,6
1982,Spain,Paolo,Rossi,Italy,6
1986,Mexico,Gary,Lineker,England,6
1990,Italy,Salvatore,Schillaci,Italy,6
1994,USA,Oleg,Salenko,Russia,6
1994,USA,Hristo,Stoichkov,Bulgaria,6
1998,France,Davor,Suker,Croatia,6
2002,South Korea/Japan,Ronaldo, ,Brazil,8
2006,Germany,Miroslav, Klose,Germany,5
2010,South Africa,Thomas,Müller,Germany,5
2014,Brazil,James,Rodríguez,Colombia,6
2018,Russia,Harry,Kane,England,6
2022,Qatar,Kylian,Mbappé,France,8
